date,id_bbg,name,px_last,px_last_1,cur_mkt_cap
2022-01-03,CITAGLB MK Equity,Citaglobal Bhd,1.1749999999999998,1.1749999999999998,239883417.49999997
2022-01-03,CYP MK Equity,Cypark Resources Bhd,0.895,0.91,527002530.4850001
2022-01-03,GENE MK Equity,Genetec Technology Bhd,3.28,3.035384615384616,2234361584.0
2022-01-03,HSS MK Equity,HSS Engineers Bhd,0.465,0.44,230575838.37
2022-01-03,JAK MK Equity,JAKS Resources Bhd,0.405,0.39,827138630.835
2022-01-03,JSB MK Equity,Jentayu Sustainables Bhd,0.5170789499999999,0.52292165,179579421.0
2022-01-03,MLK MK Equity,Malakoff Corp Bhd,0.72,0.72,3518612135.9999995
2022-01-03,PEKAT MK Equity,Pekat Group Bhd,0.68,0.68,438578376.00000006
2022-01-03,RLEB MK Equity,Reservoir Link Energy Bhd,0.55,0.54,159744750.0
2022-01-03,SAMAIDEN MK Equity,Samaiden Group Bhd,0.647999870400026,0.671999865600027,231340320.00000003
2022-01-03,SDPR MK Equity,Sime Darby Property Bhd,0.605,0.595,4114507823.085001
2022-01-03,SOLAR MK Equity,Solarvest Holdings Bhd,1.25,1.24,834442410.0000001
2022-01-03,STHB MK Equity,Stella Holdings BHD,0.96,0.96,64319999.99999999
2022-01-03,TNB MK Equity,Tenaga Nasional Bhd,9.23,9.34,52851823354.33001
2022-01-03,UEMS MK Equity,UEM Sunrise Bhd,0.32,0.32,1618712390.72
2022-01-03,UZMA MK Equity,Uzma Bhd,0.455,0.445,160173877.5
2022-01-03,YTLP MK Equity,YTL Power International Bhd,0.615,0.615,4982826128.804999
2022-01-03,SUNVIEW MK Equity,Sunview Group Bhd,,,
2022-01-04,CITAGLB MK Equity,Citaglobal Bhd,1.2,1.1749999999999998,244987320.0
2022-01-04,CYP MK Equity,Cypark Resources Bhd,0.91,0.895,535834975.1300001
2022-01-04,GENE MK Equity,Genetec Technology Bhd,3.146153846153846,3.28,2143184540.0
2022-01-04,HSS MK Equity,HSS Engineers Bhd,0.46,0.465,228096528.28
2022-01-04,JAK MK Equity,JAKS Resources Bhd,0.41,0.405,837350218.8699999
2022-01-04,JSB MK Equity,Jentayu Sustainables Bhd,0.5200003,0.5170789499999999,180593994.0
2022-01-04,MLK MK Equity,Malakoff Corp Bhd,0.74,0.72,3616351362.0
2022-01-04,PEKAT MK Equity,Pekat Group Bhd,0.705,0.68,454702581.0
2022-01-04,RLEB MK Equity,Reservoir Link Energy Bhd,0.55,0.55,159744750.0
2022-01-04,SAMAIDEN MK Equity,Samaiden Group Bhd,0.647999870400026,0.647999870400026,231340320.00000003
2022-01-04,SDPR MK Equity,Sime Darby Property Bhd,0.61,0.605,4148512019.97
2022-01-04,SOLAR MK Equity,Solarvest Holdings Bhd,1.25,1.25,834442410.0000001
2022-01-04,STHB MK Equity,Stella Holdings BHD,0.92,0.96,61640000.0
2022-01-04,TNB MK Equity,Tenaga Nasional Bhd,9.18,9.23,52565518785.78001
2022-01-04,UEMS MK Equity,UEM Sunrise Bhd,0.325,0.32,1644004771.825
2022-01-04,UZMA MK Equity,Uzma Bhd,0.47,0.455,165454335.0
2022-01-04,YTLP MK Equity,YTL Power International Bhd,0.62,0.615,5023336910.34
2022-01-04,SUNVIEW MK Equity,Sunview Group Bhd,,,
2022-01-05,CITAGLB MK Equity,Citaglobal Bhd,1.1749999999999998,1.2,239883417.49999997
2022-01-05,CYP MK Equity,Cypark Resources Bhd,0.93,0.91,547611567.99
2022-01-05,GENE MK Equity,Genetec Technology Bhd,3.1153846153846154,3.146153846153846,2122224299.9999995
2022-01-05,HSS MK Equity,HSS Engineers Bhd,0.47,0.46,233055148.46
2022-01-05,JAK MK Equity,JAKS Resources Bhd,0.415,0.41,847561806.905
2022-01-05,JSB MK Equity,Jentayu Sustainables Bhd,0.5316856999999999,0.5200003,184652286.0
2022-01-05,MLK MK Equity,Malakoff Corp Bhd,0.745,0.74,3640786168.5
2022-01-05,PEKAT MK Equity,Pekat Group Bhd,0.71,0.705,457927422.0
2022-01-05,RLEB MK Equity,Reservoir Link Energy Bhd,0.55,0.55,159744750.0
2022-01-05,SAMAIDEN MK Equity,Samaiden Group Bhd,0.6599998680000265,0.647999870400026,235624400.00000003
2022-01-05,SDPR MK Equity,Sime Darby Property Bhd,0.63,0.61,4284528807.51
2022-01-05,SOLAR MK Equity,Solarvest Holdings Bhd,1.3,1.25,867820106.4000001
